id dam sire mtHap
CNK06 BEA00 AIDAN 155
CNN04 RUM01 AST95 143
CNN06 RUM01 ALD99 143
CNN09 RUM01 MOU02 143
CNN11 RUM01 BSY02 143
CNT10 GLI06 SYC02 138
COA04 CRB97 TATTI 158
MEG09 MAR95 AIDAN 153
MEG11 MAR95 SPL04 153
FID83 VER78 OTC76 136
TLS17 SCR06 GLR09 130
FID87 VER78 RED79 136
COL78 COLLE MAXIS 130
COL79 COLLE SCO71 130
TNG94 FAN88 CROSS 130
MEL84 YHO71 LTNIK 140
MEL86 YHO71 OTA76 140
COM14 APA10 CLW00 147
MGH05 MEG00 DPU94 153
COM18 APA10 TONKS 147
COM19 APA10 LAURE 147
MIC08 SCR04 IVY96 130
MIC10 SCR04 PROXY 130
MIC11 SCR04 RUSTY 130
MIC15 SCR04 TTL06 130
FIR75 BUL70 ETHEL 144
COO97 ANK91 SLT86 144
COO98 ANK91 FUL90 144
COO99 ANK91 TYS89 144
MLA16 RAS12 ZAPHO 130
MLA18 RAS12 WSD11 130
COR81 RTN73 TRN73 145
MLA20 RAS12 GLR09 130
COU91 CUC84 LEN83 140
MLB20 KKA15 WSD11 147
COU95 CUC84 TIG89 140
COU96 CUC84 INI85 140
MLN00 BEE93 ATH91 147
FLM18 EMB12 HUGHE 140
MLN04 BEE93 FDL97 147
MLN07 BEE93 TNG97 147
FLU13 PCO06 SPD01 137
CPS00 PEP93 ATH91 133
FLU15 PCO06 ZAPHO 137
CPS99 PEP93 ALC91 133
MLR98 JUG87 OPE89 135
MLT07 CRM03 DIL99 138
CPY09 MOU03 EID01 147
MND99 FDL94 DSA99 137
CPY14 MOU03 GLR07 147
CPY16 MOU03 TONKS 147
MNG09 TRT03 PERCY 138
CPY20 MOU03 DUB09 147
CRA82 BIG76 SOO72 154
CRA83 BIG76 RED77 154
CRA84 BIG76 TER75 154
CRA85 BIG76 FLINT 154
FOP03 DAN90 WOD96 144
CRA87 BIG76 LIT76 154
FOP94 DAN90 JUG85 144
CRB88 MOC84 YTA77 158
CRB90 MOC84 RED77 158
CRB91 MOC84 BAR82 158
CRB95 MOC84 CUR85 158
CRB96 MOC84 PEP85 158
CRB97 MOC84 TYS89 158
MNS03 STR96 SANDY 153
MNS06 STR96 AIDAN 153
CRD96 FIN93 FEA90 133
MNT01 SUR95 TOU91 132
CRE84 CLE76 LTNIK 137
TRX13 TIN04 LAPHR 140
MNT06 SUR95 PRN99 132
FRA01 PEN90 SCI87 155
FRA03 PEN90 BUZZA 155
TSL04 THS96 TNY94 139
MNT99 SUR95 SAF88 132
CRO90 OCH85 RED79 138
MNX89 FUL83 RED77 153
MNX90 FUL83 MEL79 153
MNX92 FUL83 BAR82 153
FRE87 THO78 BRF76 132
POL79 POLLU RGR72 144
TTL06 LMS00 PRN99 143
TTL08 LMS00 SYC97 143
MOE17 CHM13 KLD06 147
CRX14 LMS06 TTL06 143
FRO93 BIL84 CROSS 150
MOJ15 GNB10 ZAPHO 147
CSH09 WAL03 FLG00 147
POM97 BNX93 SCI87 153
CSH12 WAL03 MOZ02 147
CSH13 WAL03 RUM04 147
CSH14 WAL03 RUM04 147
CSH15 WAL03 RUM04 147
CSH16 WAL03 STERN 147
SKU97 FUL86 SCI87 153
DOC95 HIC88 TYS83 147
MOO88 MOY82 RED77 155
MOO91 MOY82 RED77 155
PPL14 FRT07 SHAGG 144
FTH05 WSD00 FRO95 135
TWI85 BRA79 BRF76 106
FTH08 WSD00 ZUC98 135
SLL06 PAN00 CEL97 144
CUC84 UMB80 RED77 140
KKA16 WAL11 RUM04 147
CUC90 UMB80 RED79 140
CUC91 UMB80 LEN83 140
MOU06 DIC94 FLG00 147
CUC94 UMB80 FLY86 140
CUM00 CRC91 TOU91 133
MOU09 DIC94 EID01 147
MOU99 DIC94 SLT86 147
CUM97 CRC91 SAF88 133
PRC02 TRT98 KKONG 138
UKL05 FDL99 CLT95 137
GAL83 POL77 LTNIK 144
UKL08 FDL99 STUAR 137
UKL09 FDL99 STUAR 137
MOZ03 BIE97 PERCY 142
CWR86 LIM80 TER75 144
CWR88 LIM80 TIT79 144
CWR90 LIM80 VER81 144
ULU16 DID06 SYC00 137
UMB80 MEL76 LTNIK 140
MRG03 THS98 ATH91 139
MRG06 THS98 TNY94 139
MRI20 CLS17 GLR09 143
CYP20 CPY14 DUB09 147
CYP21 CPY14 RUNAW 147
PRI91 PGB74 SAF85 101
DAI10 MRG03 SYC00 139
MRY04 MAR93 SANDY 153
DAI14 MRG03 HAZ10 139
PRL19 SAP12 WSD11 143
DAK13 SOX08 CLW00 147
DAK15 SOX08 TTL06 147
DAK16 SOX08 SYC02 147
DAK17 SOX08 GLR09 147
DAK20 SOX08 GLR09 147
DAK21 SOX08 GLR09 147
DAN86 BUC82 LTNIK 144
DAN89 BUC82 YTA77 144
DAN90 BUC82 VER81 144
MTT14 TNG99 SPD01 130
DAN92 BUC82 VER81 144
DAN93 BUC82 FLY86 144
USS12 MEE05 MOZ02 147
DAN95 BUC82 CHE82 144
DAN96 BUC82 WEE85 144
DAN97 BUC82 SLT86 144
PSS16 CND06 ZAPHO 140
PSS18 CND06 WSD11 140
DAW09 SLO05 SYC00 147
DAW12 SLO05 CLW00 147
DAW14 SLO05 SPL04 147
DAW16 SLO05 TONKS 147
PTL95 MNX89 FIL86 153
VEL21 URC15 EDD15 144
IFF18 DUB14 VNS13 143
NAU20 CCH14 WSD11 144
NAU21 CCH14 UHA14 144
DEN11 PRC07 KAR02 138
DEN13 PRC07 DEO07 138
NAV10 SEQ05 STUAR 147
NAV11 SEQ05 BSY02 147
NAV12 SEQ05 ALD99 147
SOX15 SEQ01 SEQ07 147
NAV14 SEQ05 MOU05 147
JEP17 CHK12 DIN10 147
GLR17 LPA02 SLITT 143
